Game,Score,Mean Score
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,1,0.125
9,0,0.1111111111111111
10,0,0.1
11,0,0.09090909090909091
12,0,0.08333333333333333
13,0,0.07692307692307693
14,0,0.07142857142857142
15,0,0.06666666666666667
16,0,0.0625
17,0,0.058823529411764705
18,1,0.1111111111111111
19,1,0.15789473684210525
20,0,0.15
21,0,0.14285714285714285
22,0,0.13636363636363635
23,0,0.13043478260869565
24,0,0.125
25,0,0.12
26,0,0.11538461538461539
27,0,0.1111111111111111
28,0,0.10714285714285714
29,1,0.13793103448275862
30,1,0.16666666666666666
31,0,0.16129032258064516
32,0,0.15625
33,0,0.15151515151515152
34,0,0.14705882352941177
35,0,0.14285714285714285
36,0,0.1388888888888889
37,0,0.13513513513513514
38,0,0.13157894736842105
39,0,0.1282051282051282
40,0,0.125
41,0,0.12195121951219512
42,0,0.11904761904761904
43,0,0.11627906976744186
44,0,0.11363636363636363
45,0,0.1111111111111111
46,0,0.10869565217391304
47,0,0.10638297872340426
48,0,0.10416666666666667
49,1,0.12244897959183673
50,0,0.12
51,0,0.11764705882352941
52,1,0.1346153846153846
53,0,0.1320754716981132
54,0,0.12962962962962962
55,0,0.12727272727272726
56,0,0.125
57,0,0.12280701754385964
58,0,0.1206896551724138
59,0,0.11864406779661017
60,1,0.13333333333333333
61,0,0.13114754098360656
62,0,0.12903225806451613
63,0,0.12698412698412698
64,0,0.125
65,0,0.12307692307692308
66,0,0.12121212121212122
67,0,0.11940298507462686
68,0,0.11764705882352941
69,0,0.11594202898550725
70,0,0.11428571428571428
71,0,0.11267605633802817
72,1,0.125
73,0,0.1232876712328767
74,0,0.12162162162162163
75,0,0.12
76,0,0.11842105263157894
77,0,0.11688311688311688
78,0,0.11538461538461539
79,1,0.12658227848101267
80,0,0.125
81,0,0.12345679012345678
82,0,0.12195121951219512
83,0,0.12048192771084337
84,0,0.11904761904761904
85,0,0.11764705882352941
86,0,0.11627906976744186
87,0,0.11494252873563218
88,0,0.11363636363636363
89,0,0.11235955056179775
