Game,Score,Mean Score
1,0,0.0
2,0,0.0
3,0,0.0
4,1,0.25
5,0,0.2
6,0,0.16666666666666666
7,0,0.14285714285714285
8,0,0.125
9,0,0.1111111111111111
10,0,0.1
11,0,0.09090909090909091
12,0,0.08333333333333333
13,0,0.07692307692307693
14,0,0.07142857142857142
15,0,0.06666666666666667
16,0,0.0625
17,0,0.058823529411764705
18,0,0.05555555555555555
19,0,0.05263157894736842
20,0,0.05
21,0,0.047619047619047616
22,0,0.045454545454545456
23,0,0.043478260869565216
24,0,0.041666666666666664
25,0,0.04
26,0,0.038461538461538464
27,0,0.037037037037037035
28,0,0.03571428571428571
29,0,0.034482758620689655
30,0,0.03333333333333333
31,0,0.03225806451612903
32,0,0.03125
33,0,0.030303030303030304
34,0,0.029411764705882353
35,1,0.05714285714285714
36,0,0.05555555555555555
37,0,0.05405405405405406
38,0,0.05263157894736842
39,0,0.05128205128205128
40,0,0.05
41,0,0.04878048780487805
42,1,0.07142857142857142
43,0,0.06976744186046512
44,0,0.06818181818181818
45,0,0.06666666666666667
46,0,0.06521739130434782
47,0,0.06382978723404255
48,0,0.0625
49,2,0.10204081632653061
50,0,0.1
51,0,0.09803921568627451
52,0,0.09615384615384616
53,0,0.09433962264150944
54,0,0.09259259259259259
55,0,0.09090909090909091
56,1,0.10714285714285714
57,0,0.10526315789473684
58,0,0.10344827586206896
59,0,0.1016949152542373
60,0,0.1
61,0,0.09836065573770492
62,0,0.0967741935483871
63,1,0.1111111111111111
64,0,0.109375
65,0,0.1076923076923077
66,0,0.10606060606060606
67,0,0.1044776119402985
68,0,0.10294117647058823
69,0,0.10144927536231885
70,0,0.1
71,0,0.09859154929577464
72,1,0.1111111111111111
73,0,0.1095890410958904
74,0,0.10810810810810811
75,1,0.12
76,0,0.11842105263157894
77,0,0.11688311688311688
78,0,0.11538461538461539
79,0,0.11392405063291139
80,0,0.1125
81,0,0.1111111111111111
82,1,0.12195121951219512
83,0,0.12048192771084337
84,0,0.11904761904761904
85,0,0.11764705882352941
86,0,0.11627906976744186
87,0,0.11494252873563218
88,0,0.11363636363636363
