Game,Score,Mean Score
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,1,0.14285714285714285
8,1,0.25
9,0,0.2222222222222222
10,1,0.3
11,1,0.36363636363636365
12,0,0.3333333333333333
13,0,0.3076923076923077
14,0,0.2857142857142857
15,0,0.26666666666666666
16,0,0.25
17,0,0.23529411764705882
18,0,0.2222222222222222
19,1,0.2631578947368421
20,1,0.3
21,0,0.2857142857142857
22,0,0.2727272727272727
23,0,0.2608695652173913
24,0,0.25
25,0,0.24
26,0,0.23076923076923078
27,0,0.2222222222222222
28,0,0.21428571428571427
29,0,0.20689655172413793
30,0,0.2
31,0,0.1935483870967742
32,0,0.1875
33,0,0.18181818181818182
34,0,0.17647058823529413
35,0,0.17142857142857143
36,0,0.16666666666666666
37,0,0.16216216216216217
38,1,0.18421052631578946
39,0,0.1794871794871795
40,0,0.175
41,0,0.17073170731707318
42,0,0.16666666666666666
43,0,0.16279069767441862
44,0,0.1590909090909091
45,0,0.15555555555555556
46,0,0.15217391304347827
47,0,0.14893617021276595
48,0,0.14583333333333334
49,0,0.14285714285714285
50,0,0.14
51,0,0.13725490196078433
52,0,0.1346153846153846
53,0,0.1320754716981132
54,0,0.12962962962962962
55,1,0.14545454545454545
56,0,0.14285714285714285
57,0,0.14035087719298245
58,0,0.13793103448275862
59,0,0.13559322033898305
60,0,0.13333333333333333
61,0,0.13114754098360656
62,0,0.12903225806451613
63,0,0.12698412698412698
64,0,0.125
65,0,0.12307692307692308
66,0,0.12121212121212122
67,0,0.11940298507462686
68,0,0.11764705882352941
69,0,0.11594202898550725
70,0,0.11428571428571428
71,0,0.11267605633802817
72,1,0.125
73,0,0.1232876712328767
74,0,0.12162162162162163
75,0,0.12
76,0,0.11842105263157894
77,0,0.11688311688311688
78,0,0.11538461538461539
79,0,0.11392405063291139
80,0,0.1125
81,0,0.1111111111111111
82,0,0.10975609756097561
83,0,0.10843373493975904
84,1,0.11904761904761904
85,0,0.11764705882352941
86,0,0.11627906976744186
87,0,0.11494252873563218
88,0,0.11363636363636363
89,1,0.12359550561797752
